Color,Modelo,Articulo,SKU,Descripcion Operam,Estado,Cantidad,Precio lista (sin IVA),Precio M6000 (sin IVA),Importe M6000,Precio estimado de,Inactivo
Blanco salpicado de rosa,PL14,Plato 14,PL14B1P37120,Plato 14 blanco salpicado rosa s/filetes,EXISTE,1,116.38,46.55,46.55,,
Blanco salpicado de rosa,PL24,Plato 24,PL24B17023,Plato 24 blanco salpicado rosa s/filetes,EXISTE,1,254.31,101.72,101.72,,
Blanco salpicado de rosa,PL27,Plato 27,PL27B1P37120,Plato 27 blanco salpicado rosa s/filetes,EXISTE,1,331.90,132.76,132.76,,
Cafe filete negro,VA05,Taza 5,VA05C1001111,Taza 5 cafe filete negro,EXISTE,1,68.97,27.59,27.59,,
Cafe filete negro,SA08,Salsera 8,SA08C1001111,Salsera 8 cafe filete negro,EXISTE,1,77.59,31.03,31.03,,
Cafe filete negro,VA08,Taza 8,VA08C1001111,Taza 8 cafe filete negro,EXISTE,1,86.21,34.48,34.48,,
Cafe filete negro,TA14,Tazon 14,TA14C1001111,Tazon 14 cafe filete negro,EXISTE,1,107.76,43.10,43.10,,
Cafe filete negro,PH20,Plato 20 hondo,PH20C1001111,Plato 20 hondo cafe filete negro,EXISTE,1,172.41,68.97,68.97,,
Cafe filete negro,PL14,Plato 14,PL14C1001111,Plato 14 cafe filete negro,EXISTE,1,86.21,34.48,34.48,,
Cafe filete negro,PL24,Plato 24,PL24C1001111,Plato 24 cafe filete negro,EXISTE,1,172.41,68.97,68.97,,
Cafe filete negro,PL27,Plato 27,PL27C1001111,Plato 27 cafe filete negro,EXISTE,1,228.45,91.38,91.38,,
Crema con manchas menta,VA05,Taza 5,VA05Y4M32120,Taza 5 crema con manchas menta s/filetes,EXISTE,1,99.14,39.66,39.66,,
Crema con manchas menta,SA08,Salsera 8,SA08Y4M32120,Salsera 8 crema con manchas menta s/filetes,EXISTE,1,107.76,43.10,43.10,,
Crema con manchas menta,VA08,Taza 8,VA08Y4M32120,Taza 8 crema con manchas menta s/filetes,EXISTE,1,116.38,46.55,46.55,,
Crema con manchas menta,TA14,Tazon 14,TA14Y4M32120,Tazon 14 crema con manchas menta s/filetes,EXISTE,1,163.79,65.52,65.52,,
Crema con manchas menta,PH20,Plato 20 hondo,PH20Y4M32120,Plato 20 hondo crema con manchas menta s/filetes,EXISTE,1,254.31,101.72,101.72,,
Crema con manchas menta,PL14,Plato 14,PL14Y4M32120,Plato 14 crema con manchas menta s/filetes,EXISTE,1,116.38,46.55,46.55,,
Crema con manchas menta,PL24,Plato 24,PL24Y4M32120,Plato 24 crema con manchas menta s/filetes,EXISTE,1,254.31,101.72,101.72,,
Crema con manchas menta,PL27,Plato 27,PL27Y4M32120,Plato 27 crema con manchas menta s/filetes,EXISTE,1,331.90,132.76,132.76,,
Crema con manchas mostaza,VA05,Taza 5,VA05Y4Y32120,Taza 5 crema con manchas mostaza s/filetes,EXISTE,1,99.14,39.66,39.66,,
Crema con manchas mostaza,SA08,Salsera 8,SA08Y4Y32120,Salsera 8 crema con manchas mostaza s/filetes,EXISTE,1,107.76,43.10,43.10,,
Crema con manchas mostaza,VA08,Taza 8,VA08Y4Y32120,Taza 8 crema con manchas mostaza s/filetes,EXISTE,1,116.38,46.55,46.55,,
Crema con manchas mostaza,TA14,Tazon 14,TA14Y4Y32120,Tazon 14 crema con manchas mostaza s/filetes,EXISTE,1,163.79,65.52,65.52,,
Crema con manchas mostaza,PH20,Plato 20 hondo,PH20Y4Y32120,Plato 20 hondo crema con manchas mostaza s/filetes,EXISTE,1,254.31,101.72,101.72,,
Crema con manchas mostaza,PL14,Plato 14,PL14Y4Y32120,Plato 14 crema con manchas mostaza s/filetes,EXISTE,1,116.38,46.55,46.55,,
Crema con manchas mostaza,PL24,Plato 24,PL24Y4Y32120,Plato 24 crema con manchas mostaza s/filetes,EXISTE,1,254.31,101.72,101.72,,
Crema con manchas mostaza,PL27,Plato 27,PL27Y4Y32120,Plato 27 crema con manchas mostaza s/filetes,EXISTE,1,331.90,132.76,132.76,,
Crema filete negro,VA05,Taza 5,VA05Y21111,Taza 5 crema filete negro,EXISTE,1,68.97,27.59,27.59,,
Crema filete negro,SA08,Salsera 8,SA08Y2001111,Salsera 8 crema filete negro,EXISTE,1,77.59,31.03,31.03,,
Crema filete negro,VA08,Taza 8,VA08Y21111,Taza 8 crema filete negro,EXISTE,1,86.21,34.48,34.48,,
Crema filete negro,TA14,Tazon 14,TA14Y21111,Tazon 14 crema filete negro,EXISTE,1,107.76,43.10,43.10,,
Crema filete negro,PH20,Plato 20 hondo,PH20Y4001111,Plato 20 hondo crema filete negro,EXISTE,1,172.41,68.97,68.97,,
Crema filete negro,PL14,Plato 14,PL14Y2001111,Plato 14 crema filete negro,EXISTE,1,86.21,34.48,34.48,,
Crema filete negro,PL24,Plato 24,PL24Y21111,Plato 24 crema filete negro,EXISTE,1,172.41,68.97,68.97,,
Crema filete negro,PL27,Plato 27,PL27Y4001111,Plato 27 crema filete negro,EXISTE,1,228.45,91.38,91.38,,
Crema salpicado de nopal,VA05,Taza 5,VA05Y4V47120,Taza 5 crema salpicado nopal s/filetes,EXISTE,1,99.14,39.66,39.66,,
Crema salpicado de nopal,SA08,Salsera 8,SA08Y4V47120,Salsera 8 crema salpicado nopal s/filetes,EXISTE,1,107.76,43.10,43.10,,
Crema salpicado de nopal,VA08,Taza 8,VA08Y4V47120,Taza 8 crema salpicado nopal s/filetes,EXISTE,1,116.38,46.55,46.55,,
Crema salpicado de nopal,TA14,Tazon 14,TA14Y4V47120,Tazon 14 crema salpicado nopal s/filetes,EXISTE,1,163.79,65.52,65.52,,
Crema salpicado de nopal,PH20,Plato 20 hondo,PH20Y4V47120,Plato 20 hondo crema salpicado nopal s/filetes,EXISTE,1,254.31,101.72,101.72,,
